model,seed,forgetting_military_tank,forgetting_military_truck,forgetting_military_aircraft,forgetting_military_helicopter,forgetting_civilian_car,forgetting_civilian_aircraft,forgetting_mean
thesis_l40_cldetr,model_base,0.20742077599199782,0.09204557904220179,0.3722764034697443,0.056300472055879514,0.060353928362108844,0.0,0.13139952648698872
thesis_l40_cldetr,model_base,0.232184779101536,0.20825132034224936,0.38000673082024816,0.0735296223108941,0.046373000247549756,0.0,0.15672424213707956
thesis_l40_cldetr,model_base,0.2113657093553184,0.20044417366197842,0.48394628809979606,0.07838096107509773,0.029341876410975742,0.0,0.16724650143386105
thesis_l40_cldetr,model_large,0.2129877872718211,0.08507683909180486,0.24626781257519792,0.02422266023865549,0.01845790451499285,0.0,0.09783550061541203
thesis_l40_cldetr,model_large,0.20328746675904574,0.16352158991803012,0.27852644072457267,0.037066654367038265,0.0,0.0,0.1137336919614478
thesis_l40_cldetr,model_large,0.22709293127571928,0.1632994693040476,0.46243479492189754,0.15396184313223715,0.028509456206257222,0.0,0.17254974914002646
thesis_l40_cldetr,model_medium,0.16363658548052762,0.11947596265061777,0.39630610409126993,0.043246802634818504,0.04362940462224385,0.0,0.12771580991324627
thesis_l40_cldetr,model_medium,0.22456291873103962,0.17869351657419186,0.266845706658966,0.032928265649189825,0.00170820932109772,0.0,0.11745643615574751
thesis_l40_cldetr,model_medium,0.2208904349774672,0.18523421034184573,0.39630833750037364,0.08465043924669435,0.007697712884040753,0.0,0.14913018915840362
thesis_l40_cldetr,model_nano,0.18795120989934366,0.10971312667759747,0.33497620038266285,0.04860162022046499,0.028805901436079973,0.0,0.1183413431026915
thesis_l40_cldetr,model_nano,0.2974735292443238,0.21869664011315793,0.23604699199632218,0.059269833232444724,0.005956608924661988,0.0,0.13624060058515178
thesis_l40_cldetr,model_nano,0.2133814920600604,0.19296239982190666,0.506542022212572,0.08283921618194656,0.03308815184328906,0.0,0.1714688803532958
thesis_l40_cldetr,model_small,0.1833094885311255,0.10335613370507235,0.3356522252257076,0.04743306182780371,0.03137544486564692,0.0,0.11685439235922601
thesis_l40_cldetr,model_small,0.3103608307696193,0.1883651290297771,0.3045329803706279,0.05750491354209719,0.0,0.0,0.14346064228535357
thesis_l40_cldetr,model_small,0.2444271996949613,0.09609779573386368,0.48248415408710393,0.15276367157156623,0.02746372648159734,0.0,0.16720609126151542
