footprint,mAP@0.5,mAP@0.75,mAP@0.5:0.95,mAP@0.95
default,0.754533664738294,0.5715513697069219,0.4766346934258232,0.01647703794159617
localization_box,0.7476422123393269,0.5743532419239071,0.4945082279866013,0.03722757467183195
localization_box_dora,0.7517538644154342,0.5575586454674144,0.49045590916449744,0.03093770672748338
localization_box_ffn,0.8380291898569052,0.637158334006042,0.5571775378947859,0.03525787071586777
localization_box_r16,0.7646970572829158,0.5547435441867873,0.4906957113889344,0.030975452385568748
