model,method,group_name,seed,output_dir,mixed_F1@0.5,mixed_F1@0.95,mixed_Precision@0.5,mixed_Precision@0.95,mixed_Recall@0.5,mixed_Recall@0.95,mixed_mAP@0.5,mixed_mAP@0.5:0.95,mixed_mAP@0.75,mixed_mAP@0.95,matched_F1@0.5,matched_F1@0.95,matched_Precision@0.5,matched_Precision@0.95,matched_Recall@0.5,matched_Recall@0.95,matched_mAP@0.5,matched_mAP@0.5:0.95,matched_mAP@0.75,matched_mAP@0.95,average_forgetting
medium,joint_finetuning,medium:joint_finetuning,42,experiments/suites/thesis_l40_joint_baseline/model_medium/seed_42/joint_finetuning,0.029611913478078174,0.0033425572402462473,0.015047668093662184,0.0016983706758025394,0.9911424305089517,0.1106959770785057,0.8521802739193935,0.6047808221684584,0.7051088725420819,0.028678141442348554,,,,,,,,,,,
medium,joint_finetuning,medium:joint_finetuning,43,experiments/suites/thesis_l40_joint_baseline/model_medium/seed_43/joint_finetuning,0.030264283387233054,0.004126629160124766,0.015393106875632652,0.0020971952510049994,0.990136625858352,0.14163290359792666,0.8752998572769509,0.6399459768967846,0.7482317262517088,0.03293016608350309,,,,,,,,,,,
medium,joint_finetuning,medium:joint_finetuning,44,experiments/suites/thesis_l40_joint_baseline/model_medium/seed_44/joint_finetuning,0.03309014210325668,0.005817571463330719,0.01687308395776252,0.002965164678668135,0.9974886232746086,0.1807118793996788,0.9337087521371411,0.7077890235929089,0.8280016786938383,0.044550872764072165,,,,,,,,,,,
nano,det_lora,nano:det_lora,42,experiments/suites/thesis_l40_joint_baseline/model_nano/seed_42/det_lora,0.028457745770791187,0.003941265793407412,0.014452925847349911,0.0020003411655408355,0.9718513568753449,0.1394352238392463,0.636199662229272,0.4337984146051967,0.4957317527889009,0.013335659359200017,0.027459211879921886,0.0043477432447037835,0.013925773192926573,0.0022044962229417586,0.987542294623244,0.15916257615551657,0.8102701356761366,0.5575229822438582,0.6421433518518156,0.017673987239361238,0.0
nano,det_lora,nano:det_lora,43,experiments/suites/thesis_l40_joint_baseline/model_nano/seed_43/det_lora,0.028974798981532855,0.004660116726518748,0.014716533435735752,0.0023671944359600562,0.9787671989327702,0.15634361251050669,0.6250207385873415,0.43643989677947537,0.502781982167836,0.021198618527731857,0.027556417822407628,0.004679974500857051,0.01397510545246041,0.002373045870041606,0.9907993715984217,0.17075531629986498,0.8215688323407283,0.5681548618726519,0.6586210306691834,0.023387791028771126,0.0
nano,det_lora,nano:det_lora,44,experiments/suites/thesis_l40_joint_baseline/model_nano/seed_44/det_lora,0.03230443125861437,0.005199989352360247,0.016491568060004052,0.0026598974534477273,0.9788804941233892,0.14900972348232255,0.627448546930749,0.4274489700640957,0.49361478999614916,0.011213929428826605,0.027743752010475364,0.004857121282754311,0.014070092216138218,0.002463039050518053,0.9976019184652278,0.17649156298508062,0.8240833443194996,0.5629150334417851,0.6517341875432096,0.01677381118331249,0.0
nano,joint_finetuning,nano:joint_finetuning,42,experiments/suites/thesis_l40_joint_baseline/model_nano/seed_42/joint_finetuning,0.030504754786696356,0.004331187050143548,0.015526994882658065,0.0022048542155007596,0.989861800484146,0.139424460936429,0.8361087277581597,0.6070609015854588,0.703792056496568,0.03207737602258894,,,,,,,,,,,
nano,joint_finetuning,nano:joint_finetuning,43,experiments/suites/thesis_l40_joint_baseline/model_nano/seed_43/joint_finetuning,0.028625650195575086,0.004501973556693164,0.014535918170614273,0.0022842108833839078,0.9904757671421449,0.16330968266700385,0.886666380727232,0.6596816954966228,0.7739768518033658,0.04164083654882525,,,,,,,,,,,
nano,joint_finetuning,nano:joint_finetuning,44,experiments/suites/thesis_l40_joint_baseline/model_nano/seed_44/joint_finetuning,0.02891584652769369,0.0038435747585982825,0.014687613348504236,0.001952370465294397,0.9921447982419563,0.13015555855468844,0.8696687429872799,0.6370336439168732,0.7503933744379498,0.03025525732609405,,,,,,,,,,,
small,det_lora,small:det_lora,42,experiments/suites/thesis_l40_joint_baseline/model_small/seed_42/det_lora,0.029447545644064183,0.004073085743998437,0.014984378014027133,0.002067587408321459,0.9775656252909769,0.15509635593626933,0.6403961500937928,0.43717261993915874,0.5003351443237524,0.020189404021034054,0.02747629437471159,0.004418124102118781,0.013934346115603383,0.0022402469903439024,0.9885972188099664,0.1617525169269269,0.8182716364562929,0.5648492181515913,0.6447220825837289,0.028639308882003278,0.0
small,det_lora,small:det_lora,43,experiments/suites/thesis_l40_joint_baseline/model_small/seed_43/det_lora,0.028463450740055535,0.004308367676493266,0.01445212183408385,0.0021870650204372393,0.9738060882620768,0.14833456650818325,0.6383638489727338,0.4392261348297395,0.49346194946450356,0.02099062952696586,0.02751181858914005,0.004264388060381072,0.013952544934487046,0.0021625593405216093,0.9888551112903915,0.15435880314881575,0.8185183792549499,0.5667334310472282,0.6436881121491508,0.02378359221955714,0.0
small,det_lora,small:det_lora,44,experiments/suites/thesis_l40_joint_baseline/model_small/seed_44/det_lora,0.0321872739302401,0.004096659261816103,0.016418760997875342,0.0020892946497388268,0.978653903742151,0.1303309772345391,0.6786631671458099,0.4620250780046762,0.5273564861785865,0.021866290463532747,0.027522558543113165,0.003607504079190907,0.01395782029400714,0.0018292067141724721,0.990184520397268,0.13191992715309298,0.8433006623121507,0.5835396859022985,0.6687904024648551,0.025667327118022012,0.0
small,joint_finetuning,small:joint_finetuning,42,experiments/suites/thesis_l40_joint_baseline/model_small/seed_42/joint_finetuning,0.029446145836297757,0.004093690143000621,0.014968563976139888,0.002078996704852714,0.9953518711378565,0.1463902957591969,0.874429524989439,0.6433830623771031,0.7466391858224091,0.03377955862225259,,,,,,,,,,,
small,joint_finetuning,small:joint_finetuning,43,experiments/suites/thesis_l40_joint_baseline/model_small/seed_43/joint_finetuning,0.03984848501323305,0.011049741223172217,0.020489475589147186,0.00567733280552626,0.9893566673009261,0.29752422895991976,0.9423731529408935,0.7580554087836165,0.8825241357399207,0.12006876995889361,,,,,,,,,,,
small,joint_finetuning,small:joint_finetuning,44,experiments/suites/thesis_l40_joint_baseline/model_small/seed_44/joint_finetuning,0.030963161552693793,0.00430191537266427,0.015768035216300217,0.0021900553728317275,0.9974886232746086,0.14014059905516632,0.8992976066571071,0.6563205829758281,0.7671091432750807,0.04116066677568543,,,,,,,,,,,
